i,d,y_raw,n,y,lo_iqr,hi_iqr,is_outlier,u_m,u_l,H_m7,H_l7,A_m,A_l,t,sin1,cos1,season,split,use_for_fit
1,2024-04-03,91.4708084107437,21,91.4708084107437,54.06550130942836,131.76715986421098,False,0,0,0,0,,,0.0,0.0,1.0,春,train,True
1,2024-04-04,91.90441645862704,14,91.90441645862704,54.06550130942836,131.76715986421098,False,0,0,0,0,,,1.0,0.0172015754182605,0.9998520419557736,春,train,True
1,2024-04-05,90.86781907249656,16,90.86781907249656,54.06550130942836,131.76715986421098,False,0,0,0,0,,,2.0,0.034398060613608,0.9994082116062598,春,train,True
1,2024-04-06,90.9045804829707,10,,54.06550130942836,131.76715986421098,False,0,0,0,0,,,3.0,0.0515843668694083,0.9986686402879996,春,train,True
1,2024-04-07,,0,,54.06550130942836,131.76715986421098,False,0,0,0,0,,,4.0,0.0687554084811394,0.9976335468520452,春,train,True
1,2024-04-08,,0,,54.06550130942836,131.76715986421098,False,0,0,0,0,,,5.0,0.0859061042613327,0.9963032375991964,春,train,True
1,2024-04-09,90.5920634434511,13,90.5920634434511,54.06550130942836,131.76715986421098,False,0,0,0,0,,,6.0,0.1030313790431787,0.9946781061893646,春,train,True
1,2024-04-10,90.13052322145,21,90.13052322145,54.06550130942836,131.76715986421098,False,0,0,0,0,,,7.0,0.1201261651823505,0.9927586335250792,春,train,True
1,2024-04-11,90.2507265494445,11,,54.06550130942836,131.76715986421098,False,0,0,0,0,,,8.0,0.1371854040566005,0.9905453876091832,春,train,True
1,2024-04-12,89.48510208338345,22,89.48510208338345,54.06550130942836,131.76715986421098,False,0,0,0,0,,,9.0,0.1542040475626894,0.988039023376751,春,train,True
1,2024-04-13,89.36090366414851,24,89.36090366414851,54.06550130942836,131.76715986421098,False,0,0,0,0,,,10.0,0.1711770596101998,0.985240282501282,春,train,True
1,2024-04-14,89.29039819282431,24,89.29039819282431,54.06550130942836,131.76715986421098,False,0,0,0,0,,,11.0,0.1880994176117975,0.9821499931752292,春,train,True
1,2024-04-15,89.17088401706135,12,89.17088401706135,54.06550130942836,131.76715986421098,False,0,0,0,0,,,12.0,0.2049661139694953,0.9787690698649216,春,train,True
1,2024-04-16,89.94245435575525,22,89.94245435575525,54.06550130942836,131.76715986421098,False,0,0,0,0,,,13.0,0.2217721575564818,0.975098513039961,春,train,True
